County,Office_Name,Service_Officer_Name,Location_Name,Street_Address,City,State,Zip,Email,Office_Phone,Fax,Office_Hours,Website,geo_tag
Alameda,Alameda County Veterans Service Office,Anthony Simpson,Oakland,"6955 Foothill Blvd, Ste 300",Oakland,CA,94605,,(510) 577-1926,(510) 577-1947,Monday through Fridays 8:30am to 12:00 and from 1:00pm to 5:00pm.,https://www.alamedacountysocialservices.org/our-services/Veterans/index,ca_06001
Amador,Amador County Veterans Service Office,Angela Sheble,Jackson,"10877 Conductor Blvd, Ste 700",Jackson,CA,95642,,(209) 223-6476,(209) 267-0419,M-Th 7:30am - 4:30pm,https://www.amadorgov.org/services/veterans-services,ca_06005
Butte,Butte County Veterans Service Office,Matthew McCoy,Chico,"765 East Avenue, Suite 200",Chico,CA,95926,,(530) 552-6608,(530) 895-6508,Appointments only; M-F 8:30am to 11:00am; M and W 12:30pm to 3:30pm; Walk-Ins T and Th 12:30pm to 3:30pm,https://www.buttecounty.net/455/Veterans-Services,ca_06007
Calaveras,Calaveras County Veterans Service Office,Brian Galicia,Valley Springs,300 Daphne St.,Valley Springs,CA,95252,,(209) 754-6910,(209) 772-1003,M-W and F 8:30am to 4:00pm by appointment only. Thursdays 9:00am to 4:00pm walk-ins,https://veteranservices.calaverasgov.us/,ca_06009
Colusa,Colusa County Veterans Service Office,Don Parsons,Colusa,251 E. Webster St.,Colusa,CA,95932,,(530) 458-0388,(530) 458-0492,M-F 8am-4:30pm,https://www.countyofcolusaca.gov/180/Veterans-Services,ca_06011
Contra Costa,Contra Costa County Veterans Service Office,Joshua Zebley,Brentwood Outstation,104 Oak St,Brentwood,CA,94513,,,,By appointment only,https://www.contracosta.ca.gov/10081/Veterans-Service-Office,ca_06013
Contra Costa,Contra Costa County Veterans Service Office,Joshua Zebley,Danville Outstation,"400 Hartz Ave, #208",Danville,CA,94526,,,,By appointment only,https://www.contracosta.ca.gov/10081/Veterans-Service-Office,ca_06013
Contra Costa,Contra Costa County Veterans Service Office,Joshua Zebley,Martinez Main Office,"10 Douglas Dr, Ste 100",Martinez,CA,94533,,(925) 313-1481,(925) 313-1490,M-Th: 9-12 & 1-4; Fri: 9-12,https://www.contracosta.ca.gov/10081/Veterans-Service-Office,ca_06013
Contra Costa,Contra Costa County Veterans Service Office,Joshua Zebley,San Pablo Outstation,"2101 Vale Rd, Rm 302",San Pablo,CA,94806,,(510) 374-3241,(510) 374-7955,T and TH 9am - 12pm and 1pm - 4pm,https://www.contracosta.ca.gov/10081/Veterans-Service-Office,ca_06013
Del Norte,Del Norte County Veterans Service Office,Ramsey Williamson,Crescent City,810 H St,Crescent City,CA,95531,,(707) 464-2154,(707) 465-0409,M-F 8am - 5pm,https://www.co.del-norte.ca.us/departments/VeteransServices,ca_06015
