County,Office_Name,Street_Address,City,State,Zip,Email,Office_Phone,Website,geo_tag
Adair,Adair County Veterans Affairs,270 Public Square,Greenfield,IA,50849,veteransaffairs@adaircountyiowa.org,641-743-2656,https://adaircounty.iowa.gov/veterans_affairs/,ia_19001
Adams,Adams County Veterans Affairs,"500 9th Street, Courthouse, PO Box 28,",Corning,IA,50841,va@adamscounty.iowa.gov,641-743-2656,https://adamscounty.iowa.gov/veterans_affairs/,ia_19003
Allamakee,Allamakee County Veterans Affairs,110 Allamakee Street,Waukon,IA,52172,hhomewood@allamakeecounty.iowa.gov,563-568-6135,http://www.allamakee.us/veteranaffairs,ia_19005
Appanoose,Appanoose County Veterans Affairs,19999 St. Joseph Drive,Centerville,IA,52544,veterans@appanoosecounty.net,641-856-6597,https://appanoosecounty.iowa.gov/departments/veterans-affairs/,ia_19007
Audubon,Audubon County Veterans Affairs,"318 Leroy Street, Suite #4",Audubon,IA,50025,sharris-molina@auduboncountyia.gov,712-563-3508,https://www.auduboncountyia.gov/county-information/veterans-affairs.aspx,ia_19009
Benton,Benton County Veterans Affairs,"811 D Avenue, Suite 34",Vinton,IA,52349,VA@bentoncountyia.gov,319-472-3150,https://www.bentoncountyia.gov/veterans_affairs/,ia_19011
Black Hawk,Black Hawk County Veterans Affairs,1210 Idaho Street,Waterloo,IA,50703,yloveless@blackhawkcounty.iowa.gov,319-291-2512,https://www.blackhawkcounty.iowa.gov/347/Veterans-Affairs,ia_19013
Boone,Boone County Veterans Affairs,900 W. 3rd Street,Boone,IA,50036,veterans@boonecounty.iowa.gov,515-433-4904,https://www.boonecounty.iowa.gov/veterans_affairs/,ia_19015
Bremer,Bremer County Veterans Affairs,"203 1st Ave. NE, Bremer County Annex",Waverly,IA,50677,MSWdbonzer@co.bremer.ia.us,319-352-4209,http://www.bremercountyva.org/,ia_19017
Buchanan,Buchanan County Veterans Affairs,210 5th Avenue NE,Independence,IA,50644,pmeyer@co.buchanan.ia.us,319-334-7450,https://www.buchanancounty.iowa.gov/services/veterans_affairs/index.php,ia_19019
Buena Vista,Buena Vista County Veterans Affairs,605 Cayuga St.,Storm Lake,IA,50588,DeRoos@bvcountyiowa.com,712-749-2562,https://buenavistacounty.iowa.gov/departments/veteran-affairs/,ia_19021
Butler,Butler County Veterans Affairs,"428 6th, PO Box 325",Allison,IA,50602,vetaffairs@butlercounty.iowa.gov,319-346-6628,https://butlercounty.iowa.gov/departments/veteran,ia_19023
Calhoun,Calhoun County Veterans Affairs,"515 Court Street, PO Box 71",Rockwell City,IA,50579,rshinn@calhouncounty.iowa.gov,712-297-8632,https://www.calhouncounty.iowa.gov/residents/veteran_s_affairs.php,ia_19025
Carroll,Carroll County Veterans Affairs,"608 N. Court St., Suite A",Carroll,IA,51401,ccva@carrollcountyiowa.org,712-792-1234,https://www.carrollcountyiowa.gov/pview.aspx?id=20972&amp;catid=563,ia_19027
Cass,Cass County Veterans Affairs,"5 W.7th Street , IA 50022 Office:, Courthouse – 3rd Floor",Atlantic,IA,50022,mholmes@casscoia.us,712-243-6662,https://www.casscountyia.gov/county-departments/veteran-affairs-office/,ia_19029
Cedar,Cedar County Veterans Affairs,"400 Cedar Street, Courthouse",Tipton,IA,52772,phamann@cedarcounty.iowa.gov,563-886-2170,https://cedarcounty.iowa.gov/veterans_affairs/,ia_19031
Cerro Gordo,Cerro Gordo County Veterans Affairs,"220 N. Washington Ave, Courthouse, Basement",Mason City,IA,50401,sgillam@cerrogordo.gov,641-421-3085,https://cerrogordo.gov/veteran_affairs/,ia_19033
Cherokee,Cherokee County Veterans Affairs,520 W. Main Street,Cherokee,IA,51012,tkohn@co.cherokee.ia.us,712-225-6319,https://www.cherokeecounty.iowa.gov/departments/offices_f_-_z/veterans_affairs/index.php,ia_19035
Chickasaw,Chickasaw County Veterans Affairs,"2275 S Linn Ave., PO Box 425",New Hampton,IA,50659,va@chickasawcounty.iowa.gov,641-394-3232,https://chickasawcounty.iowa.gov/veteran_affairs/,ia_19037
Clarke,Clarke County Veterans Affairs,100 S. Main Street,Osceola,IA,50213,ccva@clarkecountyiowa.org,641-342-2933,https://clarkecounty.iowa.gov/departments/veterans-affairs/,ia_19039
Clay,Clay County Veterans Affairs,"505 2nd Ave W., Suite C","Spencer,",IA,51301,kginger@claycounty.iowa.gov,712-262-5547,https://claycounty.iowa.gov/veterans-affairs/,ia_19041
Clayton,Clayton County Veterans Affairs,"600 Gunder Rd. N.E., Suite 6",Elkader,IA,52043,cjordan@claytoncountyia.gov,563-245-1865,https://www.claytoncountyia.gov/251/Veteran-Affairs-Office,ia_19043
Clinton,Clinton County Veterans Affairs,1900 N. 3rd Street,Clinton,IA,52732,jbray@clintoncounty-ia.gov,563-242-1151,https://www.clintoncounty-ia.gov/veterans_affairs/,ia_19045
Crawford,Crawford County Veterans Affairs,1202 Broadway,Denison,IA,51442,lgalbraith@crawfordcounty.org,712-263-2720,https://www.crawfordcounty.iowa.gov/veteran_affairs/,ia_19047
Dallas,Dallas County Veterans Affairs,"902 Court Street, Courthouse",Adel,IA,50003,Nick.Praska@dallascountyiowa.gov,515-993-5809,https://www.dallascountyiowa.gov/256/Veterans-Affairs,ia_19049
Davis,Davis County Veterans Affairs,"203 S Madison St, Courthouse",Bloomfield,IA,52537,veterans@daviscountyiowa.org,641-664-3182,https://www.daviscountyiowa.gov/veterans-affairs/,ia_19051
Decatur,Decatur County Veterans Affairs,"207 North Main St., Courthouse",Leon,IA,50144,decctyva@grm.net,641-446-7494,https://www.decaturcountyiowa.gov/pview.aspx?id=7320&amp;catid=589,ia_19053
Delaware,Delaware County Veterans Affairs,601 Grand Street,Manchester,IA,52057,delcova@co.delaware.ia.us,563-927-5116,https://delawarecounty.iowa.gov/veteran-affairs/,ia_19055
Des Moines,Des Moines County Veterans Affairs,"910 Cottonwood, Suite #1000",Burlington,IA,52601,marlandb@dmcounty.com,319-752-7171,https://desmoinescounty.iowa.gov/veterans_affairs/,ia_19057
Dickinson,Dickinson County Veterans Affairs,"1802 Hill Avenue, Suite 1508",Spirit Lake,IA,51360,sjones@dickinsoncountyiowa.gov,712-336-0883,https://dickinsoncountyiowa.gov/veterans-affairs/,ia_19059
Dubuque,Dubuque County Veterans Affairs,36 East 8th Street,Dubuque,IA,52001,Dubuque.Veterans@DubuqueCountyIowa.gov,563-589-7840,https://www.dubuquecountyiowa.gov/250/Veterans-Affairs,ia_19061
