County,Location_Name,Building_Name,Street_Address,City,State,Zip,Office_Phone,Office_Phone2,Fax,Office_Hours,Website,geo_tag
Adams,Illinois Dept of Veterans' Affairs - Adams County,Quincy Veterans' Home,1707 N. 12th St.,Quincy,IL,62301,217-640-2241,217-640-2274,,"Monday  -  Friday, 8:00 AM  -  4:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17001
Cass,Beardstown,Golden Age Senior Center,111 West 3rd Street,Beardstown,IL,62618,217-670-9577,,,"First Tuesday of the Month, 9:00 AM - 3:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17017
Champaign,Illinois Department of Veteran's Affairs - Champaign County,Huntington Towers Suite 502,201 W Springfield Ave,Champaign,IL,61820,217-278-3392,,,"Monday - Friday, 8:00 AM - 4:00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17019
Christian,Illinois Department of Veteran's Affairs - Christian County,Human Services,1100 Cheney Street,Taylorville,IL,62568,217-287-7474,,,"Monday – Friday, 8:00 AM - 4:00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17021
Clinton,Clinton County Senior Center,Clinton County Senior Center,630 8th St,Caryle,IL,62231,618-533-9070,217-836-6639,,"1st and 3rd Friday, 9:00 AM -3:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17027
Coles,Illinois Department of Veterans Affairs - Coles County,Human Services Bldg,1550 Douglas Ave Suite 1,Charleston,IL,61920,217-345-2192,,,Monday-Friday 8:00am - 4:00pm,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17029
Coles,"Mattoon CBOC - "" Temporarily Closed will return January 2026 """,,501 Lake Land BLVD,Mattoon,IL,61938,,,,""" Temporarily Closed will return January 2026 """,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17029
Cook,Worth Township Hall -  Cook county,,11601 S Pulaski Rd.,Alsip,IL,60803,217-720-6945,,,Mondays 9am-3pm Appointments Only,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17031
Cook,Illinois Department of Veteran's Affairs - Chicago Downtown,George Dunne County Bldg.,69 W. Washington St. Ste. 1620,Chicago,IL,60602,312-814-3287,,,"Monday - Friday,  8:00 AM  -  4:00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17031
Cook,Illinois Department of Veteran's Affairs -  Cook County - 71st St,IDES,1515 E. 71st Street,Chicago,IL,60619,773-947-3648,,,Tuesday-Friday 8:00AM-4:30PM,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17031
Cook,IDVA Vet Center - Cook - Southwest,,8658 S. Sacramento Ave.,Chicago,IL,60652,312-965-0104,,,Fridays **Appointment Only**,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17031
Cook,IL Dept. of Veterans' Affairs - Chicago Vet Home - 4250 N. Oak Park Avenue,Chicago Veterans Home,4250 N. Oak Park Avenue,Chicago,IL,60634-1417,(872)304-6705,(815)904-3883,,"Monday, Wednesday & Thursday 8:00 AM – 4:00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17031
Cook,Illinois Department of Veteran's Affairs - Cook County (Chicago VA Office),Chicago VA Regional Office,"2122 W. Taylor St., Rm# 127",Chicago,IL,60612,312-980-4512,,312-980-4508,Monday - Wednesday - Thursday 9:00 AM - 4:00 PM,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17031
