Parish,Office_Name,Street_Address,City,State,Zip,Primary_Contact,Email,Secondary_Contact,Secondary_Email,Third_Contact,Third_Email,Office_Phone,Fax,Hours_Mon,Hours_Tue,Hours_Wed,Hours_Thu,Hours_Fri,Itinerant_Location,Itinerant_Phone,Itinerant_Hours,Website,geo_tag
Acadia Parish,Acadia Parish,521 SW Court Circle,Crowley,LA,70526,,,,,,,337-788-7539,337-788-4987,9 a.m. - 3:30 p.m.,9 a.m. - 3:30 p.m.,Closed,Closed,9 a.m. - 3:30 p.m.,,,,https://vetaffairs.la.gov/locations,la_22001
Allen Parish,Allen Parish,105 N. Fifth St.,Oberlin,LA,70655,Michael Jorden,michael.jorden@la.gov,Charles Trenchard,charles.trenchard@la.gov,,,337-639-4370,337-639-4370,Closed,9 a.m. - 3:30 p.m.,Closed,9 a.m. - 3:30 p.m.,Closed,,,Open first and third Tuesdays of every month,https://vetaffairs.la.gov/locations,la_22003
Ascension Parish,Ascension Parish,"Ascension Parish Governmental Annex, 828 S. Irma Blvd.",Gonzales,LA,70737,Michael Wilson,michael.wilson4@la.gov,,,,,225-644-7475,,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,"Courthouse Building, 300 Houmas St., Donaldsonville, LA 70346",225-474-2012,The Donaldsonville veterans service office is open the 2nd and 4th Tuesday of each month.,https://vetaffairs.la.gov/locations,la_22005
Ascension Parish (Itinerant Point),Ascension Parish (Itinerant Point),"Courthouse Building, 300 Houmas St.",Donaldsonville,LA,70346,Michael Wilson,michael.wilson4@la.gov,,,,,225-474-2012,,Closed,9 a.m. - 3:30 p.m.,Closed,9 a.m. - 3:30 p.m.,Closed,,,,https://vetaffairs.la.gov/locations,la_22005
Assumption Parish,Assumption Parish,4813 Highway 1,Napeonville,LA,70390,Duane Rodgers,duane.rodgers@la.gov,,,,,985-369-7396,,Closed,Closed,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22007
Avoyelles Parish,Avoyelles Parish,"District Attorney's Office, 417 N. Main Street",Marksville,LA,71351,Cedric Myers,cedric.myers@la.gov,,,,,318-739-0147,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22009
Beauregard Parish,Beauregard Parish,"War Memorial Civic Center, 250 West 7th Street",DeRidder,LA,70634,Joshua Tolbert,joshua.tolbert@la.gov,,,,,337-463-7305,,Closed,9 a.m. - 3:30 p.m.,Closed,9 a.m. - 3:30 p.m.,Closed,,,,https://vetaffairs.la.gov/locations,la_22011
Bienville Parish,Bienville Parish,"Courthouse, 100 Courthouse Drive, Suite 117",Arcadia,LA,71001,Andrew Pastusic,andrew.pastusic@la.gov,,,,,318-263-7427,,Closed,9 a.m. - 3:30 p.m.,Closed,9 a.m. - 3:30 p.m.,Closed,,,,https://vetaffairs.la.gov/locations,la_22013
Bossier Parish,Bossier Parish,"Bossier Parish Library, 4660 East Texas Street",Bossier City,LA,71111,Christina Verner,christina.verner@la.gov,Dalton Halladay,dalton.halladay@la.gov,Dominique Chew,dominique.chew@la.gov,318-741-8781,318-676-7555,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22015
Caddo Parish,Caddo Parish,"1525 Fairfield Avenue, Room 401",Shreveport,LA,71101,Christina Verner,christina.verner@la.gov,Dalton Halladay,dalton.halladay@la.gov,Dominique Chew,dominique.chew@la.gov,318-676-7564,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22017
