County,Address,Phone,Fax,Email,geo_tag
Adams,"307 Market St., Natchez, MS 39120",(601) 304-7800,,veterans@adamscountyms.gov,ms_28001
Alcorn,Court House,(662) 286-7744,(662) 284-4922,,ms_28003
Amite,"185 Irene St., P.O. Box 103, Liberty, MS 39645",(601) 657-4197,,amitevso@bellsouth.net,ms_28005
Attala,715 Fairground Road,(662) 289-6045,(662) 289-0111,attalavso@attalacounty.net,ms_28007
Benton,Benton Courthouse,(662)224-6325,(662)224-6303,veterans@bentoncountyms.gov,ms_28009
Bolivar,113 South Davis St. Hwy 61,(662) 843-2471,(662) 846-5898,bcvso2013@yahoo.com,ms_28011
Calhoun,"American Legion, 496 Veterans Avenue",(662) 628-1933,(662) 628-1933,,ms_28013
Carroll,"P.O. Box 60, Carrollton, MS 38917",(662) 237-9274,(662) 237-9642,carrollvso@gmail.com,ms_28015
Chickasaw,"Locations:, 665 North Jefferson St., Houston, MS 38851, 793 Highway 245, South Okolona, MS 38860",(662) 456-3652,,,ms_28017
Choctaw,"P.O. Box 250, Ackerman, MS 39735",(662) 285-7719,(662) 285-3922,choctawcountymsvets@gmail.com,ms_28019
Claiborne,"1703 Bridewell Lane, Multipurpose Building, P.O. Box 689, Port Gibson, MS 39150",(601) 437-1105,(601) 437-4430,,ms_28021
Clarke,"100 East Church Street, P.O. Box 616, Quitman, MS 39355",(601) 776-2461,(601) 776-1013,,ms_28023
Clay,"218 West Broad Street, Justice Court Building, P.O. Box 1203, West Point, MS 39773",(662) 494-1554,(662) 494-6141,,ms_28025
Coahoma,504 2nd Street,(662) 624-5201,,,ms_28027
Copiah,"122 South Lowe Street, Chancery Clerk Office",(601) 894-4101,(601) 894-4081,,ms_28029
Covington,"P.O. Box 1679, Collins, MS 39428",(601) 765-4004,(601) 765-0283,veterans@covingtoncountyms.gov,ms_28031
DeSoto,"Maxwell Bldg. - Suite B, 6595 Hwy 305N, Olive Branch, MS 38654",(662) 404-6598,,,ms_28033
Forrest,"1200 Corinne Street, Hattiesburg, MS 39403",(601) 583-4521,(601) 582-4947,,ms_28035
Franklin,"P.O. Box 297, Meadville, MS 39653",(601) 384-2763,(601) 384-2763,franklincountyvso@gmail.com,ms_28037
George,,(601) 247-2117,(601) 947-8804,veteransaffairs@georgecountyms.gov,ms_28039
