County,Office,Street_Address,City,State,Zip,Phone,Fax,Email,Website,geo_tag
Kennebec,Augusta Field Office,194 Winthrop Street,Augusta,ME,04330,207-287-9933,207-626-4471,mainebvs@maine.gov,https://www.maine.gov/veterans/veterans-services-offices/locations,me_23011
Franklin,Augusta Field Office,194 Winthrop Street,Augusta,ME,04330,207-287-9933,207-626-4471,mainebvs@maine.gov,https://www.maine.gov/veterans/veterans-services-offices/locations,me_23007
Somerset,Augusta Field Office,194 Winthrop Street,Augusta,ME,04330,207-287-9933,207-626-4471,mainebvs@maine.gov,https://www.maine.gov/veterans/veterans-services-offices/locations,me_23025
Penobscot,Bangor Field Office,35 State Hospital Drive,Bangor,ME,04401,207-941-3005,207-941-3012,bangor.mainebvs@maine.gov,https://www.maine.gov/veterans/veterans-services-offices/locations,me_23019
Piscataquis,Bangor Field Office,35 State Hospital Drive,Bangor,ME,04401,207-941-3005,207-941-3012,bangor.mainebvs@maine.gov,https://www.maine.gov/veterans/veterans-services-offices/locations,me_23021
Aroostook,Caribou Field Office,"14 Access Highway, Suite 5",Caribou,ME,04736,207-492-1173,207-492-1175,caribou.mainebvs@maine.gov,https://www.maine.gov/veterans/veterans-services-offices/locations,me_23003
Androscoggin,Lewiston Field Office,35 Westminster Street,Lewiston,ME,04240,207-753-9106,207-783-5307,lewiston.mainebvs@maine.gov,https://www.maine.gov/veterans/veterans-services-offices/locations,me_23001
Oxford,Lewiston Field Office,35 Westminster Street,Lewiston,ME,04240,207-753-9106,207-783-5307,lewiston.mainebvs@maine.gov,https://www.maine.gov/veterans/veterans-services-offices/locations,me_23017
Washington,Machias Field Office,"53 Prescott Drive, Suite 6",Machias,ME,04654,207-255-3306,207-255-4815,machias.mainebvs@maine.gov,https://www.maine.gov/veterans/veterans-services-offices/locations,me_23029
Hancock,Machias Field Office,"53 Prescott Drive, Suite 6",Machias,ME,04654,207-255-3306,207-255-4815,machias.mainebvs@maine.gov,https://www.maine.gov/veterans/veterans-services-offices/locations,me_23009
Cumberland,Portland Field Office,"151 Jetport Boulevard, Room 138W",Portland,ME,04102,207-822-2391,207-822-2393,portland.mainebvs@maine.gov,https://www.maine.gov/veterans/veterans-services-offices/locations,me_23005
Sagadahoc,Portland Field Office,"151 Jetport Boulevard, Room 138W",Portland,ME,04102,207-822-2391,207-822-2393,portland.mainebvs@maine.gov,https://www.maine.gov/veterans/veterans-services-offices/locations,me_23023
Knox,Portland Field Office,"151 Jetport Boulevard, Room 138W",Portland,ME,04102,207-822-2391,207-822-2393,portland.mainebvs@maine.gov,https://www.maine.gov/veterans/veterans-services-offices/locations,me_23013
Lincoln,Portland Field Office,"151 Jetport Boulevard, Room 138W",Portland,ME,04102,207-822-2391,207-822-2393,portland.mainebvs@maine.gov,https://www.maine.gov/veterans/veterans-services-offices/locations,me_23015
Waldo,Portland Field Office,"151 Jetport Boulevard, Room 138W",Portland,ME,04102,207-822-2391,207-822-2393,portland.mainebvs@maine.gov,https://www.maine.gov/veterans/veterans-services-offices/locations,me_23027
York,Springvale Field Office,634 Main Street,Springvale,ME,04083,207-324-1839,207-324-2763,springvale.mainebvs@maine.gov,https://www.maine.gov/veterans/veterans-services-offices/locations,me_23031
Kennebec (Togus VA),Togus (VA Medical Center),"Veterans Administration Center, Building 248, Room 110",Togus,ME,04330,207-287-7019,207-287-8449,hvc.mainebvs@maine.gov,https://www.maine.gov/veterans/veterans-services-offices/locations,me_23011
