County,Organization,Contact,Phone,Email,Website,Notes,geo_tag
Anne Arundel,Anne Arundel County Veterans Affairs Commission,County Executive's Office,410-222-1821,,https://www.aacounty.org/boards-and-commissions/veterans-affairs-commission/,Also: Veterans Coordination Center 410-222-3500,md_24003
Baltimore County,Commission on Veterans Affairs,,,,https://www.baltimorecountymd.gov/departments/commission-veterans-affairs,,md_24005
Calvert,Calvert County Veterans Affairs Commission,"Lorraine Joyner, Staff Liaison",410-535-1600 ext. 8803,Veterans@calvertcountymd.gov,https://www.calvertcountymd.gov/2855/Veterans-Affairs-Commission,Also part of Tri-County Veterans Regional Advisory Council,md_24009
Carroll,Veteran Services Program of Carroll County,Department of Citizen Services,410-386-3800,,https://www.carrollcountymd.gov/government/boards-commissions/veterans-advisory-council/,Also: Veterans Advisory Council,md_24013
Charles,Commission for Veterans Affairs,"Julie Bryson, Veterans Services Manager",301-645-0550,,https://www.charlescountymd.gov/government/boards-commissions-committees-and-workgroups/commission-for-veterans-affairs,Also part of Tri-County Veterans Regional Advisory Council,md_24017
Frederick,Veterans Advisory Council,Miles Ward,301-600-1414,,https://frederickcountymd.gov/7816/Veterans-Advisory-Council,,md_24021
Harford,Harford County Commission on Veterans Affairs,,410-638-3213 ext. 1456,,https://www.harfordcountymd.gov/927/Commission-on-Veterans-Affairs,,md_24025
Howard,Office of Veterans and Military Families,"Lisa Terry, Manager",410-313-6400,,https://www.howardcountymd.gov/Departments/Community-Resources-and-Services/Boards-and-Commissions/Commission-for-Veterans-and-Military-Families,Also: Commission for Veterans and Military Families,md_24027
Montgomery,Montgomery County Commission on Veterans Affairs,"Michael Wilson, Chair; Chris Thomas, Vice-Chair; Betsy Luecking, Community Outreach Manager",240-777-1256,,https://www.montgomerycountymd.gov/HHS-Program/ADS/CVA/CVAIndex.html,Cell: 240-418-4865,md_24031
Prince George's,Prince George's County Commission for Veterans,"Major (Ret.) George Onyenyeonwu, Veterans Affairs Director",301-952-3904,,https://www.princegeorgescountymd.gov/709/Commission-for-Veterans,,md_24033
Queen Anne's,Queen Anne's County Veteran and Military Support Alliance,"Eric B. Johnson Jr., Executive Director",,executive.director@vamsa.us,https://qacveteransupport.org/,,md_24035
St. Mary's,Tri-County Veterans Regional Advisory Council,,301-274-1922,,,Tri-county council with Calvert and Charles counties,md_24037
