Name,County,Address,Phone,Email,Hours,Officer,Organization_Type,geo_tag
Ingham County - American Legion State Headquarters,Ingham,"212 N. Verlinden Ave., Lansing, MI 48915",517-930-7266,vjohnsonalvso@outlook.com,"Friday, 8:00 a.m. - 4:30 p.m.","Valerie Johnson, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26065
Ingham County Department of Veterans Affairs,Ingham,"Entrance 2, 5303 S. Cedar St., Lansing MI 48911",517-887-4331,apocan@ingham.org,"Monday - Friday, 8:00 a.m. - 12:00 p.m. & 1:00 p.m. - 4:30 p.m. (by appointment only)","John Taylor, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26065
Ingham County - Lansing CBOC,Ingham,"5656 S. Cedar St., Lansing, MI 48811",517-267-3925,john.howe4@va.gov,"Monday - Thursday, 7:00 a.m. - 3:00 p.m.","Robert Neal, Accredited",VIETNAM VETERANS OF AMERICA - VETERAN SERVICE OFFICER,mi_26065
Clinton County - American Legion Post 412,Clinton,"5480 Clark Rd., Bath, MI 48808",517-930-7266,vjohnson@milegionfoundation.onmicrosoft.com,"3rd Wednesday, 8:00 a.m. - 4:00 p.m.","Valerie Johnson, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26037
Eaton County - American Legion Post 48,Eaton,"731 N. Clinton St., Grand Ledge, MI 48837",517-930-7266,vjohnsonalvso@outlook.com,"2nd & 4th Monday, 8:00 a.m. - 4:00 p.m.","Valerie Johnson, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26045
Shiawassee County - American Legion Post 248,Shiawassee,"1240 W. Grand River, Laingsburg, MI 48848",517-651-6050,vjohnson@milegionfoundation.onmicrosoft.com,,"Valerie Johnson, Accredited",AMERICAN LEGION - VETERANS SERVICE OFFICER,mi_26155
Ingham County - VFW National Home,Ingham,"3573 S. Waverly Rd.&nbsp;, Eaton Rapids, MI 48827",517-930-7266,vjohnson@milegionfoundation.onmicrosoft.com,"2nd & 4th Wednesday, 8:00 a.m. - 4:00 p.m.","Valerie Johnson, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26065
Eaton County Veterans Services,Eaton,"1045 Independence Blvd., 1st Floor, Charlotte, MI 48813",517-543-3740,tlewis@eatoncounty.org,"Monday - Friday, 8:00 a.m. - 5:00 p.m.","Tom Lewis, Accredited",COUNTY VETERAN SERVICE OFFICER,mi_26045
Clinton County Department of Veterans Affairs,Clinton,"100 E. State St., St. Johns, MI 48879",517-887-4332,mmitchell2@ingham.org,Call Ingham County at 517-887-4331 to schedule an appointment.,"Matt Mitchell, Accredited",COUNTY VETERAN SERVICE OFFICER,mi_26037
Shiawassee County Department of Veterans Affairs,Shiawassee,"1042 N. Shiawassee St., Corunna, MI 48817",989-743-2231,mreeve@shiawassee.net,,"John Sprague, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26155
"Ionia County - The Right Door for Hope, Recovery and Wellness",Ionia,"375 Appletree Dr., Ionia, MI 48846",616-527-1790,vjohnsonalvso@outlook.com,"1st & 3rd Monday, 8:30 a.m. - 4:30 p.m.","Valerie Johnson, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26067
Jackson County Department of Veterans Affairs,Jackson,"1715 Lansing Avenue, Jackson, MI 49201",517-788-4425,PMccaskey@mijackson.org,"Monday - Friday, 8:00 a.m. - 4:00 p.m.","Valerie Johnson, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26075
Livingston County Veteran Services,Livingston,"1420 Lawson Drive, Howell, MI 48843",517-546-6338,veterans@livgov.com,"Monday - Friday, 8:00 a.m. - 5:00 p.m.","Kelly Johnson, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26093
Barry County Department of Veterans Affairs,Barry,"231 S. Broadway St., Hastings, MI 49058",269-945-1296,pbreas@michiganlegion.org,"Monday - Friday, 8:00 a.m. - 5:00 p.m.","Andrew Ferguson, Accredited",DISABLED AMERICAN VETERANS - VETERAN SERVICE OFFICER,mi_26015
Gratiot County Department of Veterans Affairs,Gratiot,"214 E. Center St., Ithaca, MI 48847",989-875-5258,veterans@gratiotmi.com,"Monday - Friday, 9:00 a.m. - 4:00 p.m.","Kayla Webster, Director, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26057
Calhoun County - Battle Creek Federal Center,Calhoun,"74 N. Washington Avenue, Battle Creek, MI 49037",313-712-0406,glenn.whitt@va.gov,"4th Wednesday, 7:00 a.m. - 3:00 p.m.","Glenn Whitt, Accredited",VETERANS OF FOREIGN WARS - VETERAN SERVICE OFFICER,mi_26025
Calhoun County Veterans Affairs,Calhoun,"190 E. Michigan Ave., Battle Creek, MI 49014",269-969-6735,jcarlsen@calhouncountymi.gov,"Monday - Thursday, 8:00 a.m. - 4:30 p.m., Friday 8:00 a.m. - 12:00 p.m.","Kristina Higgins, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26025
Calhoun County - American Legion Post 257,Calhoun,"7475 B. Drive North, Battle Creek, MI 49014","833-648-7230, Option 1",jclark@milegionfoundation.onmicrosoft.com,"2nd and 3rd Monday, Tuesday, Thursday, 8:00 a.m. - 4:00 p.m.","Joshua Clark, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICERS,mi_26025
