Office,Counties_Served,Phone,Address,geo_tag
Albany County Veterans Service Agency,Albany,(518) 447-7710,"162 Washington Ave, 7th Floor, Albany , NY 12210",ny_36001
Allegany County Veterans Service Agency,Allegany,(585) 268-9387,"6085 State Route 19N, Belmont , NY 14813",ny_36003
Brooklyn VAMC,Kings,(718) 836-6600 ext: 7196,"800 Poly Place Room 5-213A, Brooklyn, NY 11209",ny_36047
Brooklyn VetCenter,Kings,(718) 905-8940,"111 Livingston St. Suite 1910, Brooklyn, NY 11201",ny_36047
Broome County Veterans Service Agency,Broome,607-778-2147,"11 Frederick Street, Binghamton , NY 13901",ny_36007
Cattaraugus County Veterans Service Agency,Cattaraugus,(716) 701-3298,"1 Leo Moss Drive Suite 6510, Olean , NY 14760",ny_36009
Cayuga County Veterans Service Agency,Cayuga,(315) 253-1281,"95 Genesee Street, 3rd Floor, Auburn , NY 13021",ny_36011
Chautauqua County Veterans Service Agency,Chautauqua,(716) 661-8255,"567 Fairmount Avenue, Jamestown , NY 14701",ny_36013
Chemung County Veterans Service Agency,Chemung,(607) 737-5445,"425 Pennsylvania Avenue, Room 303 P.O. Box 588, Elmira , NY 14902",ny_36015
Chenango County Veterans Service Agency,Chenango,(607) 337-1775,"5 Court Street, Norwich , NY 13815",ny_36017
Columbia County Veterans Service Agency,Columbia,(518) 828-3610,"359 Fairview Avenue Suite 8, Hudson , NY 12534",ny_36021
Cortland County Veterans Service Agency,Cortland,(607) 753-5014/5015,"60 Central Avenue Box 5590,, Cortland , NY 13045",ny_36023
Delaware County Veterans Service Agency,Delaware,(607) 832-5345,"97 Main Street Suite 4,, Delhi , NY 13753",ny_36025
Dutchess County Veterans Service Agency,Dutchess,(845) 486-2060,"85 Civic Center Plaza Suite 105, Poughkeepsie , NY 12601",ny_36027
Erie County Veterans Service Agency,Erie,(716) 858-6363,"95 Franklin Street Suite 800, Buffalo , NY 14202-3919",ny_36029
Franklin County Veterans Service Agency,Franklin,(518) 481-1540,"355 West Main Street Suite 200, Malone , NY 12953-1826",ny_36033
Fulton County Veterans Service Agency,Fulton,(518) 736-5651,"223 West Main Street, Johnstown , NY 12095",ny_36035
Genesee County Veterans Service Agency,Genesee,(585) 815-7905,"3837 West Main Street Road, Batavia , NY 14020",ny_36037
Glen Cove Office of Veterans’ Services,Nassau,516-695-1812,"City Hall, 9 Glen St 2nd Floor, Glen Cove, NY 11542",ny_36059
Greene County Veterans Service Agency,Greene,(518) 943-3703,"159 Jefferson Heights Suite D-303, Catskill , NY 12414",ny_36039
Hamilton County Veterans Service Agency,Hamilton,(518) 548-6651,"102 County View Drive, Lake Pleasant , NY 12108",ny_36041
Hempstead Veteran Services,Nassau,(516) 812-3506,"1 Washington Street, Hempstead, NY 11550",ny_36059
Herkimer County Veterans Service Agency,Herkimer,(315) 867-1127,"109 Mary Street Suite 1103, Herkimer , NY 13350-2925",ny_36043
Hicksville DOL,Nassau,(516) 932-4027,"301 West Old Country Road, 2nd Flr., Hicksville, NY 11801",ny_36059
Jefferson County Veterans Service Agency,Jefferson,(315) 785-3086,"175 Arsenal Street 2nd Floor, Watertown , NY 13601",ny_36045
Lewis County Veterans Service Agency,Lewis,(315) 376-5316,"7660 North State Street 1st Floor, Room 120, Lowville , NY 13367",ny_36049
Livingston County Veterans Service Agency,Livingston,(585) 243-7960,"7 Murray Hill Drive, Mt. Morris , NY 14510",ny_36051
Madison County Veterans Service Agency,Madison,(315) 366-2395,"138 North Court Street P.O. Box 546, Wampsville , NY 13163",ny_36053
Monroe County Veterans Service Agency,Monroe,(585) 753-6040,"125 Westfall Road, Rochester , NY 14620",ny_36055
