County,Region,State_Center,State_Center_Phone,County_VSO_Phone,Has_County_Office,geo_tag
Alamance,REGION II,Clemmons,(919) 664-1000,(336) 570-6763/6734,Yes,nc_37001
Alexander,REGION I,Hickory,(919) 664-1040,(828) 733-8211,Yes,nc_37003
Alleghany,REGION II,Clemmons,(919) 664-1000,(336) 372-4850,Yes,nc_37005
Anson,REGION II,Charlotte,(919) 664-1080,(704) 694-4418,Yes,nc_37007
Ashe,REGION I,Hickory,(919) 664-1040,(336) 846-5575,Yes,nc_37009
Avery,REGION I,Morganton,(919) 664-1055,(828) 733-8211,Yes,nc_37011
Beaufort,REGION IV,Greenville,(919) 664-1150,(252) 946-8016,Yes,nc_37013
Bertie,REGION IV,Elizabeth City,(919) 664-1150,(252) 794-5304,Yes,nc_37015
Bladen,REGION III,Wilmington,(919) 664-1065,(910) 862-6781,Yes,nc_37017
Brunswick,REGION III,Wilmington,(919) 664-1065,(910) 253-2233,Yes,nc_37019
Buncombe,REGION I,Canton,(919) 664-1095,(828) 250-5726,Yes,nc_37021
Burke,REGION I,Morganton,(919) 664-1055,(828) 439-4376,Yes,nc_37023
Cabarrus,REGION II,Charlotte,(919) 664-1080,(704) 920-2869,Yes,nc_37025
Caldwell,REGION I,Morganton,(919) 664-1055,(828) 757-1345,Yes,nc_37027
Camden,REGION IV,Elizabeth City,(919) 664-1150,,No,nc_37029
Carteret,REGION IV,Kinston,(919) 664-1030,,Yes,nc_37031
Caswell,REGION III,Garner,(919) 664-1160,,No,nc_37033
Catawba,REGION I,Hickory,(919) 664-1040,(828) 465-8255,Yes,nc_37035
Chatham,REGION III,Garner,(919) 664-1160,,No,nc_37037
Cherokee,REGION I,Canton,(919) 664-1095,(828) 835-8663,Yes,nc_37039
Chowan,REGION IV,Elizabeth City,(919) 664-1150,(252) 482-1033,Yes,nc_37041
Clay,REGION I,Canton,(919) 664-1095,(828) 389-3355,Yes,nc_37043
Cleveland,REGION I,Morganton,(919) 664-1055,(704) 484-4803,Yes,nc_37045
Columbus,REGION III,Wilmington,(919) 664-1065,(910) 640-6638,Yes,nc_37047
Craven,REGION IV,Kinston,(919) 664-1030,(252) 636-6611,Yes,nc_37049
Cumberland,REGION III,Fayetteville,(919) 664-1130,(910) 677-2970,Yes,nc_37051
Currituck,REGION IV,Elizabeth City,(919) 664-1150,,No,nc_37053
Dare,REGION IV,Elizabeth City,(919) 664-1150,(252) 475-5604,Yes,nc_37055
Davidson,REGION II,Clemmons,(919) 664-1000,(336) 242-2037,Yes,nc_37057
Davie,REGION II,Clemmons,(919) 664-1000,(336) 753-6225,Yes,nc_37059
Duplin,REGION IV,Kinston,(919) 664-1030,(252) 636-6611,Yes,nc_37061
Durham,REGION III,,(919) 286-0411,(919) 560-8387,Yes,nc_37063
Edgecombe,REGION IV,Wilson,(919) 664-1185,(252) 641-6286,Yes,nc_37065
Forsyth,REGION II,Clemmons,(919) 664-1000,,Yes,nc_37067
Franklin,REGION III,Garner,(919) 664-1160,(919) 496-1939,Yes,nc_37069
Gaston,REGION II,Charlotte,(919) 664-1080,(704) 866-3606,Yes,nc_37071
Gates,REGION IV,Elizabeth City,(919) 664-1150,(252) 357-1780,Yes,nc_37073
Graham,REGION I,Canton,(919) 664-1095,,No,nc_37075
Granville,REGION III,Garner,(919) 664-1160,(919) 693-1484,Yes,nc_37077
Greene,REGION IV,Kinston,(919) 664-1030,(252) 747-7320,Yes,nc_37079
Guilford,REGION II,Clemmons,(919) 664-1000,(336) 641-2957,Yes,nc_37081
