county,office_name,address,phone,phone2,fax,email,website,geo_tag
Adams,Adams County Veterans Service Office,"923 Sunrise Ave., Room 102, West Union, OH 45693",1 (937) 544-7857,,1 (937) 544-7858,russell.todd@adamscountyoh.gov,https://www.adamscountyoh.gov/adams-county-veterans-service-office/,oh_39001
Allen,Allen County Veterans Service Office,"301 N. Main St., Room 113, Lima, OH 45801",1 (419) 223-8522,,1 (419) 223-8535,acvso@allencountyohio.com,https://www.allencountyvsc.com/,oh_39003
Ashland,Ashland County Veterans Service Office,"110 Cottage St., Ashland, OH 44805",1 (419) 282-4225,,1 (419) 281-5747,veterans@ashlandcounty.org,https://ashlandcountyveteransohio.org/,oh_39005
Ashtabula,Ashtabula County Veterans Service Office,"1709 E. Prospect Rd., Ashtabula, OH 44004",1 (440) 964-8324,,1 (440) 964-3582,ACVSC@ashtabulacounty.us,http://ashtabulaveterans.com,oh_39007
Athens,Athens County Veterans Service Office,"88 N. Plains Rd., Ste. 102, The Plains, OH 45780",1 (740) 592-3216,,1 (740) 592-3217,kspencer@athensoh.org,http://www.co.athensoh.org/residents/veterans/index.php,oh_39009
Auglaize,Auglaize County Veterans Service Office,"209 S. Blackhoof St., Room 202, Wapakoneta, OH 45895",1 (419) 739-6750,,1 (419) 739-6751,veterans@auglaizecounty.org,https://www.augvsc.org,oh_39011
Belmont,Belmont County Veterans Service Office,"400 Imperial Plaza, Bellaire, OH 43906",1 (740) 325-1042,,1 (740) 325-1246,cindy@belmontcountyveterans.org,https://www.belmontcountyveterans.org/,oh_39013
Brown,Brown County Veterans Service Office,"474 Homes St., Ste. D, Georgetown, OH 45121",1 (937) 378-3155,,1 (937) 378-1535,Kcrank@browncountyohio.gov,http://www.browncountyohio.gov/index.php/veterans-services,oh_39015
Butler,Butler County Veterans Service Office,"Butler County Gov. Service Ctr., 315 High St., 1st Flr., Hamilton, OH 45011",1 (513) 887-3600,,1 (513) 887-3519,vsc@butlercountyohio.org,http://www.bcvets.org/,oh_39017
Carroll,Carroll County Veterans Service Office,"160 Second St. SW, P.O. Box 303, Carrollton, OH 44615",1 (330) 627-2590,,1 (330) 627-0118,vsocblack@yahoo.com,https://carrollcountyohio.us/agencies-and-departments/veteran-service-office/,oh_39019
Champaign,Champaign County Veterans Service Office,"220 E. Court St., Urbana, OH 43078",1 (937) 653-4554,,1 (937) 484-4084,champvso@co.champaign.oh.us,http://www.co.champaign.oh.us/ChampaignCountyVeteransServiceOffice.pdf,oh_39021
Clark,Clark County Veterans Service Office,"117 S. Fountain Ave., Springfield, OH 45502",1 (937) 521-2030,,1 (937) 328-2457,veterans@clarkcountyohio.gov,https://veteransofclarkcountyohio.com/,oh_39023
Clermont,Clermont County Veterans Service Office,"76 S. Riverside Dr., Heritage Bldg., 3rd Flr., Batavia, OH 45103",1 (513) 732-7363,,1 (513) 732-7639,sbalczo@clermontcountyveterans.com,http://www.clermontcountyveterans.com/,oh_39025
