county,office_name,address,phone,fax,email,website,contact_persons,hours,geo_tag
Baker,Baker County VSO,"Baker County Health Department Building, 2200 4th Street, Baker City, OR 97814",(541) 523-8223,(541) 523-0184,rgloria@bakercounty.org,https://www.bakercounty.org/veterans/veterans.html,Rick Gloria - CVSO | rgloria@bakercounty.org,"Monday - Friday, 8 a.m. - 5 p.m. |  Closed 12 - 1 p.m.",or_41001
Benton,Benton County VSO,"1121 NW 9th St, Corvallis, OR 97330",(541) 368-7100,,veterans@ocwcog.org,https://www.ocwcog.org/community-services-programs/veterans/,Mark Lapinskas - VSO,,or_41003
Clackamas,Clackamas County VSO,"2051 Kaen Road, Suite 280 (2nd Floor), Oregon City, OR 97045",(503) 650-5631,(503) 655-8669,veterans@clackamas.us,https://www.clackamas.us/socialservices/veterans.html,"Gus Bedwell - Supervisor/CVSO Amber Locke, Colin Black, Kaitlin Berg - CVSOs",,or_41005
Clatsop,Clatsop County VSO,,(971) 308-1045,,clatsopvso@ccaservices.org,https://www.clatsopcounty.gov/county/page/clatsop-county-veteran-services-program,Carl Wiley - CVSO | 503-440-9411 Samuel Jeans - CVSO Assistant,,or_41007
Columbia,Columbia County VSO,"125 N. 17th St., St. Helens, OR 97051",(503) 366-6580,(503) 397-7257,enolan@cat-team.org,https://cat-team.org/vso,Erin Nolan - | enolan@cat-team.org,,or_41009
Coos,Coos County VSO - Coos Bay,"1611 Virginia Ave, Suite #125B, North Bend, OR 97459",(541) 551-0222,541-396-7502,coosvets@co.coos.or.us,https://www.co.coos.or.us/veterans,Chad Wilkinson - VSO James Lindsey - VSO,,or_41011
Coos,Coquille Indian Tribe,"630 Miluk Drive, Coos Bay, OR 97420",541-260-3735,,denisecody@coquilletribe.org,https://www.coquilletribe.org/,Denise Cody - Veteran Advocate | 541-260-3735 | denisecody@coquilletribe.org,,or_41011
Crook,Crook County VSO,"422 NW Beaver St., Prineville, OR 97754",(541) 447-5304,(541) 447-7505,veterans@co.crook.or.us; tom.evans@crookcountyor.gov,https://co.crook.or.us/veterans-services,Tom Evans - CVSO | tom.evans@crookcountyor.gov,,or_41013
Curry,Curry County VSO - Gold Beach,"Curry County Annex Bldg, 94235 Moore St #112, Gold Beach, OR 97444",(541) 247-3205,(541) 247-2713,voudya@co.curry.or.us; pitmana@co.curry.or.us,http://www.co.curry.or.us/departments/veterans_services.php,Tony Voudy - CVSO | voudya@co.curry.or.us Addy Pitman - CVSO | pitmana@co.curry.or.us,,or_41015
Curry,Curry County VSO - Brookings,"517 Railroad St., Brookings, OR 97415",(541) 247-3205,(541) 247-2713,voudya@co.curry.or.us; pitmana@co.curry.or.us,,Tony Voudy - CVSO | voudya@co.curry.or.us Addy Pitman - CVSO | pitmana@co.curry.or.us,,or_41015
Curry,Curry County VSO - Port Orford,"North Curry Service Center, 1403 Oregon St, Port Orford, OR 97465",(541) 247-3205,(541) 247-2713,voudya@co.curry.or.us; pitmana@co.curry.or.us,,Tony Voudy - CVSO | voudya@co.curry.or.us Addy Pitman - CVSO | pitmana@co.curry.or.us,,or_41015
Deschutes,Deschutes County VSO - Bend,"Mike Maier Building, 1130 N.W. Harriman St, Bend, OR 97701",(541) 385-3214,(541) 330-4676,vets@deschutes.org,https://www.deschutes.org/administration/page/veterans-services,"Natacia Flanigan, Sean Kirk, Andrew Middleton, Shannon Orf - CVSOs Tara Kelley - Admin Support",,or_41017
Deschutes,Deschutes County VSO - La Pine,"South County Service Center, 51340 Hwy. 97, La Pine, OR 97739",(541) 385-3214,(541) 330-4676,vets@deschutes.org,https://www.deschutes.org/administration/page/veterans-services,Andrew Middleton - CVSO,,or_41017
Deschutes,Deschutes County VSO - Redmond,"Kingwood Building, 236 NW Kingwood Ave, Redmond, OR 97756",(541) 385-3214,(541) 330-4676,vets@deschutes.org,https://www.deschutes.org/administration/page/veterans-services,Shannon Orf - CVSO,,or_41017
Douglas,Douglas County VSO,"Douglas County Courthouse, 1036 SE Douglas Avenue, Rm 7/8, Roseburg, OR 97470",(541) 440-4219,(541) 440-6166,veterans@douglascountyor.gov,https://douglascounty-oregon.us/408/Veterans-Services,,,or_41019
Douglas,Cow Creek Band of Umpqua Tribe of Indians,"2371 NE Stephens St., Ste 100, Roseburg, OR. 97470",541-677-5513,,Matthew.Case@cowcreek-nsn.gov,https://www.cowcreek-nsn.gov/tribal-story/veterans/,Matthew Case - TVSO | 541-677-5513 | Matthew.Case@cowcreek-nsn.gov,,or_41019
